일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-01-02,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,852,101,50,3745571
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1073,55,20,1338675
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1146,98,23,1844438
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,1123,76,32,2881132
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1979,158,61,4819869
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1279,90,39,2503836
2025-01-02,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,2552,132,48,2940602
2025-01-02,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,883,76,18,875158
2025-01-02,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,647,42,9,592516
2025-01-02,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,845,66,11,719430
2025-01-02,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,896,47,12,546187
2025-01-02,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,870,63,12,984806
2025-01-02,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,733,62,13,785032
2025-01-02,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,343,15,8,528728
2025-01-02,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,211,7,3,346115
2025-01-02,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,419,14,6,381980
2025-01-02,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,784,28,16,1198698
2025-01-02,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,312,16,7,555580
2025-01-02,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,535,17,10,785053
2025-01-02,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1687,342,153,12209067
2025-01-02,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1029,98,24,1876943
2025-01-02,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,1301,246,94,7021264
2025-01-02,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,506,31,15,1297192
2025-01-02,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,420,37,24,1803038
2025-01-02,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,356,28,22,3271927
2025-01-02,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,644,38,29,2988231
2025-01-02,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,841,77,44,4949197
2025-01-02,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,694,57,47,5147435
2025-01-03,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,2126,192,43,3983701
2025-01-03,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1663,183,43,1941752
2025-01-03,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,2213,200,49,3323259
2025-01-03,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,2151,306,62,4633158
2025-01-03,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1329,169,46,2326369
2025-01-03,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1562,152,50,2626324
2025-01-03,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1786,235,81,5253144
2025-01-03,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,2087,186,60,3930674
2025-01-03,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1307,146,86,6126494
2025-01-03,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,1206,117,58,5057632
2025-01-03,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,1515,178,52,4054738
2025-01-03,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1850,127,47,3674804
2025-01-03,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1087,105,47,3660781
2025-01-03,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,1622,145,49,3078896
2025-01-03,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1834,165,44,3553120
2025-01-03,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1987,189,77,4786020
2025-01-03,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,2055,209,89,4565642
2025-01-03,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,786,41,8,453774
2025-01-03,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,980,58,14,563517
2025-01-03,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,1057,83,16,985887
2025-01-03,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,934,94,16,802952
2025-01-03,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,503,49,8,476275
2025-01-03,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,859,52,15,761656
2025-01-03,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,238,11,7,394830
2025-01-03,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,272,15,8,547499
2025-01-03,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,379,14,6,490976
2025-01-03,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,357,18,5,502290
2025-01-03,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,369,12,3,293510
2025-01-03,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,617,31,19,1138941
2025-01-03,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1976,398,281,15799920
2025-01-03,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1101,160,41,2969512
2025-01-03,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,1180,129,53,3723503
2025-01-03,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,289,24,14,1051196
2025-01-03,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,349,21,10,1105693
2025-01-03,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,258,25,17,1870724
2025-01-03,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,511,39,19,2265687
2025-01-03,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,990,91,58,4225807
2025-01-03,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,589,32,30,2527043
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1026,94,19,1306841
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,874,73,23,1194675
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,851,90,21,1134189
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,639,59,11,745519
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1562,203,35,1646099
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1128,89,21,1170439
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1035,105,24,1477469
2025-01-04,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,837,69,19,1418226
2025-01-04,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1007,79,37,2526709
2025-01-04,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,834,101,45,2284230
2025-01-04,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,548,58,18,1192467
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,966,90,38,2592652
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,549,48,16,1307356
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,900,69,23,1456309
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,558,40,14,1092527
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,715,56,19,1530019
2025-01-04,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1260,109,44,3021435
2025-01-04,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,293,20,2,139747
2025-01-04,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,676,34,10,417695
2025-01-04,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,438,24,5,238801
2025-01-04,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,498,34,8,404787
2025-01-04,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,472,41,12,488573
2025-01-04,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,504,24,6,371653
2025-01-04,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,156,6,1,102539
2025-01-04,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,319,17,5,440325
2025-01-04,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,141,5,2,225408
2025-01-04,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,228,12,4,333273
2025-01-04,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,228,10,4,248738
2025-01-04,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,349,19,6,452860
2025-01-04,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,865,177,121,10782458
2025-01-04,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,617,108,39,2979997
2025-01-04,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,418,67,28,2074350
2025-01-04,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,244,18,9,752748
2025-01-04,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,286,25,20,2325680
2025-01-04,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,196,18,9,905811
2025-01-04,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,377,30,24,3143028
2025-01-04,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,477,48,34,2555484
2025-01-04,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,403,43,26,2986265
2025-01-05,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,654,65,16,1160026
2025-01-05,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1194,88,25,1753620
2025-01-05,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1172,89,25,1696593
2025-01-05,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1144,105,20,1577432
2025-01-05,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1146,112,38,2110556
2025-01-05,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1503,171,35,3081662
2025-01-05,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,1209,104,19,1157749
2025-01-05,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1506,174,46,2114468
2025-01-05,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,801,93,34,2450167
2025-01-05,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,899,103,38,2948486
2025-01-05,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,919,77,23,1237814
2025-01-05,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,929,93,42,2398188
2025-01-05,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,664,52,15,1110038
2025-01-05,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,852,60,29,1730841
2025-01-05,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1022,57,21,1820459
2025-01-05,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1122,93,36,2002821
2025-01-05,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1169,109,51,2468285
2025-01-05,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,644,40,8,336702
2025-01-05,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,517,30,5,369610
2025-01-05,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,571,39,7,407010
2025-01-05,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,417,37,9,517224
2025-01-05,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,636,28,6,307729
2025-01-05,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,471,31,9,589086
2025-01-05,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,194,7,3,294207
2025-01-05,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,234,10,3,283045
2025-01-05,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,180,7,4,386202
2025-01-05,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,532,28,12,785298
2025-01-05,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,277,17,8,552629
2025-01-05,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,385,14,8,575166
2025-01-05,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,966,215,96,7105090
2025-01-05,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,787,118,67,3886824
2025-01-05,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,609,117,47,4836860
2025-01-05,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,242,18,15,1764854
2025-01-05,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,186,15,14,1452850
2025-01-05,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,254,22,12,988157
2025-01-05,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,543,44,21,2301747
2025-01-05,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,360,30,19,1370297
2025-01-05,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,221,19,12,1071562
2025-01-06,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1272,106,22,1745720
2025-01-06,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1387,137,31,1756801
2025-01-06,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,1663,170,29,1971809
2025-01-06,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,1765,137,33,1969884
2025-01-06,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1625,195,63,3692555
2025-01-06,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1356,151,43,2524665
2025-01-06,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,813,80,19,1262166
2025-01-06,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1568,132,32,1992052
2025-01-06,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,570,57,17,1392418
2025-01-06,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,787,92,41,2273608
2025-01-06,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,959,84,25,1759191
2025-01-06,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1590,127,60,4027848
2025-01-06,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1510,150,60,4325400
2025-01-06,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,901,79,36,2205237
2025-01-06,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1630,165,61,4931842
2025-01-06,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,1084,70,31,2466667
2025-01-06,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1514,122,37,2763920
2025-01-06,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,706,37,7,451785
2025-01-06,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,619,35,6,343553
2025-01-06,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,905,61,9,597961
2025-01-06,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,787,39,10,712253
2025-01-06,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,667,45,9,525328
2025-01-06,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,467,36,7,495101
2025-01-06,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,267,9,3,228161
2025-01-06,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,270,11,5,425836
2025-01-06,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,255,9,3,254046
2025-01-06,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,344,12,6,764249
2025-01-06,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,585,38,15,1314148
2025-01-06,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,260,16,5,622467
2025-01-06,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1233,210,108,8149856
2025-01-06,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,828,136,53,3384263
