일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-01-01,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,12792,664,106684,64,41,3873020
2025-01-01,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,11509,761,100983,80,51,3696320
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,77814,1883,395328,208,52,2710786
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,85365,2510,432125,302,57,2957737
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,66364,1511,361087,219,69,3357989
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,81884,2591,481490,253,55,2456943
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,65220,1933,314866,252,67,3397541
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,52521,1379,251415,205,55,2495955
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,75662,2689,432030,399,133,8092775
2025-01-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,85134,2683,463494,268,61,3753677
2025-01-02,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,30792,939,153891,90,41,1960016
2025-01-02,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,38963,1398,207077,124,53,3650802
2025-01-02,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,38289,942,198102,117,63,4423818
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,57222,1189,306643,76,26,1792545
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,73793,1321,388656,123,34,2306668
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,56855,1273,345377,106,47,3457588
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,89371,2033,521061,213,90,6409399
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,53331,1468,300826,109,47,3365137
2025-01-02,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,81921,2619,379935,168,58,3995605
2025-01-02,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,58504,1020,206589,83,22,1103726
2025-01-02,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,50243,750,211524,47,12,662749
2025-01-02,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,59030,919,271112,82,15,823604
2025-01-02,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,45204,985,214973,57,17,752296
2025-01-02,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,63555,925,236193,83,18,1071498
2025-01-02,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,39446,803,164916,71,19,1024131
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,17562,363,76167,20,10,680569
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,13400,242,49359,10,5,396847
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,20253,480,77679,20,8,491227
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,33720,814,152808,35,21,1475324
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,21278,363,105134,20,11,739461
2025-01-02,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,27239,562,137006,24,13,963719
2025-01-02,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,10863,1783,103938,377,212,15973863
2025-01-02,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,17266,1110,120106,129,34,2161230
2025-01-02,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,17668,1391,151938,272,122,8415169
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,7347,535,66455,38,21,1738597
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,7514,492,70756,47,32,2333797
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,5094,380,46228,38,33,3723107
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,11050,705,103112,54,39,3782596
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,12398,880,92432,94,57,6296299
2025-01-02,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,10057,754,77372,73,66,6466842
2025-01-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,79328,2345,481678,225,62,4309682
2025-01-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,73240,1699,347775,204,56,2607542
2025-01-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,82450,2265,492765,266,62,4151204
2025-01-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,86152,2380,545731,339,79,5192288
2025-01-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,59792,1445,340292,219,58,2789009
2025-01-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,66907,1643,322160,215,60,3025378
2025-01-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,81595,2090,478156,291,101,5819775
2025-01-03,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,84185,2232,467824,254,77,4256129
2025-01-03,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,37254,1454,217177,190,103,6966086
2025-01-03,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,50466,1274,229647,148,83,5928624
2025-01-03,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,50471,1706,299132,228,74,4876151
2025-01-03,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,71469,2100,341190,141,67,4498797
2025-01-03,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,58601,1249,259056,132,63,4340556
2025-01-03,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,74481,1777,368697,193,61,3662255
2025-01-03,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,89073,1953,583560,192,64,4193238
2025-01-03,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,68615,2131,345108,226,93,5492366
2025-01-03,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,75316,2265,435488,253,107,6178738
2025-01-03,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,46045,856,168298,46,10,586299
2025-01-03,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,62727,1005,295752,80,16,625693
2025-01-03,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,59562,1242,296917,102,21,1144658
2025-01-03,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,57928,1095,274675,106,20,880234
2025-01-03,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,43723,580,207425,55,12,578389
2025-01-03,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,39811,883,142839,66,18,1012236
2025-01-03,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,14945,265,62502,14,8,438874
2025-01-03,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,11963,311,51138,22,10,671374
2025-01-03,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,17288,438,75431,17,9,557495
2025-01-03,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,21637,420,104314,21,8,672142
2025-01-03,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,22322,420,99792,16,5,401517
2025-01-03,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,30057,714,138644,39,22,1562105
2025-01-03,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,13161,2167,106191,506,339,19198975
2025-01-03,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,19621,1182,130647,196,55,3196902
2025-01-03,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,16038,1263,133715,149,64,4866340
2025-01-03,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,6553,320,49046,29,19,1397767
2025-01-03,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,8463,366,76689,26,13,1319548
2025-01-03,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,6060,274,45641,28,22,2356534
2025-01-03,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,11775,570,100106,45,24,2547100
2025-01-03,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,13579,1020,122469,104,79,5575773
2025-01-03,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,12618,653,94477,44,37,3478678
2025-01-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,47341,1079,252026,114,28,1787628
2025-01-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,32770,964,192777,97,28,1605959
2025-01-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,39515,945,232849,109,32,1447967
2025-01-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,34103,733,169224,76,14,903600
2025-01-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,49500,1611,225649,229,44,1958677
2025-01-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,46435,1213,216080,101,24,1584872
2025-01-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,49775,1158,283494,137,34,1786106
2025-01-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,31697,876,202640,93,28,1862590
2025-01-04,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,26270,1063,153472,92,48,2764234
2025-01-04,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,25707,972,148431,127,61,2937231
2025-01-04,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,18159,638,92300,66,21,1404304
2025-01-04,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,41424,1012,232782,107,51,3162226
2025-01-04,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,32608,600,150900,66,23,1610185
2025-01-04,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,39750,1007,188782,83,28,1701427
2025-01-04,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,30506,577,179755,45,19,1296960
2025-01-04,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,32375,736,211374,74,26,1726399
2025-01-04,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,49001,1350,304968,138,59,3795080
2025-01-04,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,25456,341,126060,23,4,158465
2025-01-04,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,37833,753,129518,47,12,473615
2025-01-04,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,37340,483,152918,32,7,293269
2025-01-04,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,32142,512,151662,38,11,519510
2025-01-04,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,29267,535,145847,49,14,584101
2025-01-04,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,23988,521,114902,34,9,404522
2025-01-04,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,7873,178,31077,7,2,141254
2025-01-04,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,11892,334,52942,21,8,507193
2025-01-04,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,9158,150,31990,7,4,288799
2025-01-04,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,13870,236,56386,15,7,402393
2025-01-04,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,13311,244,54324,14,5,338783
2025-01-04,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,15996,375,80306,21,9,626008
2025-01-04,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,7918,969,69246,250,152,12103741
2025-01-04,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,7607,719,59995,125,51,3812577
2025-01-04,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,6863,455,44844,89,34,2728935
2025-01-04,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,3702,253,33949,21,11,939532
2025-01-04,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,5201,303,41567,36,25,2605245
2025-01-04,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,4160,217,27690,22,13,1242719
2025-01-04,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,8248,439,79132,36,32,3538529
2025-01-04,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,7476,556,51262,56,45,3192762
2025-01-04,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,7022,436,60200,53,34,3486967
2025-01-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,35052,740,210960,86,21,1248365
2025-01-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,35943,1235,196991,111,36,2031522
2025-01-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,49801,1221,257189,105,29,1986837
2025-01-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,48518,1341,226433,128,27,1774851
2025-01-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,42528,1248,195190,129,45,2869601
2025-01-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,52941,1580,285349,204,49,3339051
2025-01-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,39582,1356,178986,122,26,1261729
2025-01-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,51024,1694,252637,214,59,2799088
2025-01-05,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,31307,868,183121,106,50,3358478
2025-01-05,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,26850,983,156602,123,52,3201757
2025-01-05,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,24496,1014,144697,96,32,1460723
2025-01-05,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,36611,1035,220224,113,56,2931917
2025-01-05,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,35494,753,163733,59,21,1407318
2025-01-05,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,43172,958,262437,86,33,2095086
2025-01-05,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,52800,1094,273312,71,27,2027450
2025-01-05,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,39540,1215,237260,126,45,2723291
2025-01-05,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,41355,1197,207411,139,60,3119642
2025-01-05,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,39796,743,147023,52,11,412642
2025-01-05,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,33508,547,131049,40,7,413462
2025-01-05,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,32111,585,124066,48,9,466585
2025-01-05,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,35054,451,145730,44,12,684334
2025-01-05,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,33938,654,161992,39,10,391576
2025-01-05,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,24912,499,100880,44,13,771519
2025-01-05,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,8458,217,35886,10,4,337629
2025-01-05,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,10262,267,44998,12,5,362558
2025-01-05,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,7790,204,30324,10,6,482913
2025-01-05,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,20287,565,100699,37,16,1014790
2025-01-05,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,15552,298,66326,21,11,642096
2025-01-05,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,16043,406,55319,21,11,628521
2025-01-05,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,6372,1084,58692,256,110,9617241
2025-01-05,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,9870,816,86007,160,76,4182052
2025-01-05,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,8865,716,83306,142,68,5220974
2025-01-05,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,3526,266,28697,25,22,2340271
2025-01-05,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,3950,197,27634,21,17,1599388
2025-01-05,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,4844,285,32346,30,17,1284223
2025-01-05,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,7777,578,57287,62,30,2934295
2025-01-05,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,6366,372,58977,40,24,1788860
2025-01-05,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,5265,243,46294,24,15,1399151
